season,home,away,week,score_home,score_away,winner,loser,team_possesion,field_position,field_team,field_yards,yards_to_td,quarter,to_go,time_left_qtr,penalty_on,penalty,penalty_yards,full_description,game_type,team_possesion_cat,team_penalty_cat,penalty_side,opportunity,yards_to_go
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 11,BUF,11,89,Q3,1 and 20,14:35,NE,Roughing the Passer,15,"(BUF, BUF 11, Q3, 1 and 20) (14:35) T.Edwards pass incomplete short middle to F.Jackson [V.Wilfork]. PENALTY on NE-V.Wilfork, Roughing the Passer, 15 yards, enforced at BUF 11 - No Play.",REG,Opponent,NE,Defensive Penalty,1,20
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 41,BUF,41,59,Q3,2 and 10,13:50,BUF,False Start,5,"(BUF, BUF 41, Q3, 2 and 10) (13:50) PENALTY on BUF-D.Bell, False Start, 5 yards, enforced at BUF 41 - No Play.",REG,Opponent,Opponent,Offensive Penalty,2,10
2009,NE,BUF,1,25,24,NE,BUF,NE,NE 30,NE,30,70,Q3,2 and 3,1:41,BUF,Unnecessary Roughness,15,"(NE, NE 30, Q3, 2 and 3) (1:41) (Shotgun) T.Brady pass short right to B.Watson to NE 40 for 10 yards (B.Scott, D.Whitner). PENALTY on BUF-D.Whitner, Unnecessary Roughness, 15 yards, enforced at NE 40.",REG,NE,Opponent,Defensive Penalty,2,3
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 43,BUF,43,57,Q4,3 and 5,10:50,BUF,Offensive Pass Interference,10,"(BUF, BUF 43, Q4, 3 and 5) (10:50) (Shotgun) T.Edwards pass short middle to T.Owens to NE 48 for 9 yards (B.Meriweather, J.Sanders). PENALTY on BUF-T.Owens, Offensive Pass Interference, 10 yards, enforced at BUF 43 - No Play.",REG,Opponent,Opponent,Offensive Penalty,3,5
2009,NE,BUF,1,25,24,NE,BUF,BUF,NE 26,NE,26,26,Q4,1 and 10,7:39,NE,Roughing the Passer,15,"(BUF, NE 26, Q4, 1 and 10) (7:39) T.Edwards sacked at NE 36 for -10 yards (A.Thomas). PENALTY on NE-A.Thomas, Roughing the Passer, 15 yards, enforced at NE 36.",REG,Opponent,NE,Defensive Penalty,1,10
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 36,NE,36,64,Q1,2 and 7,13:52,NYJ,Defensive 12 On-field,6,"(NE, NE 36, Q1, 2 and 7) (13:52) (No Huddle, Shotgun) L.Maroney right end to NE 40 for 4 yards (D.Revis, D.Harris). PENALTY on NYJ, Defensive 12 On-field, 6 yards, enforced at NE 36 - No Play.",REG,NE,Opponent,Defensive Penalty,2,7
2009,NYJ,NE,2,16,9,NYJ,NE,NYJ,NYJ 4,NYJ,4,96,Q1,3 and 26,10:25,NYJ,False Start,2,"(NYJ, NYJ 4, Q1, 3 and 26) (10:25) PENALTY on NYJ-D.Woody, False Start, 2 yards, enforced at NYJ 4 - No Play.",REG,Opponent,Opponent,Offensive Penalty,3,26
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 17,NYJ,17,17,Q1,1 and 10,8:36,NE,Offensive Holding,10,"(NE, NYJ 17, Q1, 1 and 10) (8:36) (Shotgun) T.Brady pass short middle to J.Edelman to NYJ 7 for 10 yards (J.Leonhard). PENALTY on NE-S.Neal, Offensive Holding, 10 yards, enforced at NYJ 17 - No Play.",REG,NE,NE,Offensive Penalty,1,10
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 27,NYJ,27,27,Q1,2 and 20,8:02,NE,Offensive Holding,10,"(NE, NYJ 27, Q1, 2 and 20) (8:02) (No Huddle, Shotgun) F.Taylor right end to NYJ 15 for 12 yards (D.Revis, K.Rhodes). PENALTY on NE-C.Baker, Offensive Holding, 10 yards, enforced at NYJ 27 - No Play.",REG,NE,NE,Offensive Penalty,2,20
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 40,NE,40,60,Q2,1 and 10,15:00,NYJ,Personal Foul,15,"(NE, NE 40, Q2, 1 and 10) (15:00) T.Brady pass incomplete short left to J.Edelman. PENALTY on NYJ-B.Scott, Personal Foul, 15 yards, enforced at NE 40.",REG,NE,Opponent,Defensive Penalty,1,10
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 41,NYJ,41,41,Q2,3 and 6,13:55,NYJ,Illegal Contact,5,"(NE, NYJ 41, Q2, 3 and 6) (13:55) (No Huddle, Shotgun) T.Brady pass incomplete short right to J.Galloway. PENALTY on NYJ-L.Sheppard, Illegal Contact, 5 yards, enforced at NYJ 41 - No Play.",REG,NE,Opponent,Defensive Penalty,3,6
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 36,NYJ,36,36,Q2,2 and 10,13:42,NE,Delay of Game,5,"(NE, NYJ 36, Q2, 2 and 10) (13:42) (No Huddle, Shotgun) PENALTY on NE-T.Brady, Delay of Game, 5 yards, enforced at NYJ 36 - No Play.",REG,NE,NE,Offensive Penalty,2,10
2009,NYJ,NE,2,16,9,NYJ,NE,NYJ,NYJ 30,NYJ,30,70,Q2,,,NE,Offensive Holding,9,"(NYJ, NYJ 30, Q2) J.Feely kicks 71 yards from NYJ 30 to NE -1. L.Maroney pushed ob at NE 31 for 32 yards (E.Smith). PENALTY on NE-S.Aiken, Offensive Holding, 9 yards, enforced at NE 19.",REG,Opponent,NE,Defensive Penalty,,
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 31,NE,31,69,Q2,3 and 1,3:40,NE,Illegal Formation,5,"(NE, NE 31, Q2, 3 and 1) (3:40) (No Huddle) PENALTY on NE-J.Galloway, Illegal Formation, 5 yards, enforced at NE 31 - No Play.",REG,NE,NE,Offensive Penalty,3,1
2009,NYJ,NE,2,16,9,NYJ,NE,NYJ,NYJ 24,NYJ,24,76,Q2,1 and 10,00:10,NYJ,False Start,5,"(NYJ, NYJ 24, Q2, 1 and 10) (:10) (Shotgun) PENALTY on NYJ-D.Woody, False Start, 5 yards, enforced at NYJ 24 - No Play.",REG,Opponent,Opponent,Offensive Penalty,1,10
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 35,NYJ,35,35,Q3,3 and 9,4:19,NE,Delay of Game,5,"(NE, NYJ 35, Q3, 3 and 9) (4:19) (Shotgun) PENALTY on NE-T.Brady, Delay of Game, 5 yards, enforced at NYJ 35 - No Play.",REG,NE,NE,Offensive Penalty,3,9
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 40,NYJ,40,40,Q3,3 and 14,4:19,NE,Delay of Game,5,"(NE, NYJ 40, Q3, 3 and 14) (4:19) (Shotgun) PENALTY on NE-T.Brady, Delay of Game, 5 yards, enforced at NYJ 40 - No Play.",REG,NE,NE,Offensive Penalty,3,14
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NYJ 45,NYJ,45,45,Q3,4 and 19,3:26,NE,Face Mask (15 Yards),15,"(NE, NYJ 45, Q3, 4 and 19) (3:26) C.Hanson punts 28 yards to NYJ 17, Center-J.Ingram, fair catch by J.Leonhard. PENALTY on NE-R.Moss, Face Mask (15 Yards), 15 yards, enforced at NYJ 45 - No Play.",REG,NE,NE,Offensive Penalty,4,19
2009,NYJ,NE,2,16,9,NYJ,NE,NYJ,NYJ 15,NYJ,15,85,Q3,1 and 10,3:09,NYJ,Offensive Holding,7,"(NYJ, NYJ 15, Q3, 1 and 10) (3:09) L.Washington left end to NYJ 28 for 13 yards (J.Green, L.Bodden). PENALTY on NYJ-D.Keller, Offensive Holding, 7 yards, enforced at NYJ 15 - No Play.",REG,Opponent,Opponent,Offensive Penalty,1,10
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 24,NE,24,76,Q4,3 and 1,8:58,NYJ,Encroachment,5,"(NE, NE 24, Q4, 3 and 1) (8:58) PENALTY on NYJ-K.Jenkins, Encroachment, 5 yards, enforced at NE 24 - No Play.",REG,NE,Opponent,Defensive Penalty,3,1
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 37,NE,37,63,Q4,4 and 2,7:05,NE,Delay of Game,5,"(NE, NE 37, Q4, 4 and 2) (7:05) (Punt formation) PENALTY on NE-C.Hanson, Delay of Game, 5 yards, enforced at NE 37 - No Play.",REG,NE,NE,Offensive Penalty,4,2
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 35,NE,35,65,Q4,1 and 10,4:41,NE,Offensive Holding,10,"(NE, NE 35, Q4, 1 and 10) (4:41) (Shotgun) K.Faulk right tackle to NE 43 for 8 yards (K.Rhodes). PENALTY on NE-B.Watson, Offensive Holding, 10 yards, enforced at NE 35 - No Play.",REG,NE,NE,Offensive Penalty,1,10
2009,NYJ,NE,2,16,9,NYJ,NE,NE,NE 34,NE,34,66,Q4,4 and 11,3:49,NYJ,Offensive Holding,10,"(NE, NE 34, Q4, 4 and 11) (3:49) C.Hanson punts 42 yards to NYJ 24, Center-J.Ingram. J.Leonhard to NYJ 35 for 11 yards (S.Aiken). PENALTY on NYJ-D.Lowery, Offensive Holding, 10 yards, enforced at NYJ 33.",REG,NE,Opponent,Defensive Penalty,4,11
2009,NYJ,NE,2,16,9,NYJ,NE,NYJ,NYJ 40,NYJ,40,60,Q4,4 and 12,2:00,NE,Illegal Block Above the Waist,10,"(NYJ, NYJ 40, Q4, 4 and 12) (2:00) S.Weatherford punts 42 yards to NE 18, Center-J.Dearth. J.Edelman to NE 20 for 2 yards (W.Wright, J.Trusnik). PENALTY on NE-B.Green-Ellis, Illegal Block Above the Waist, 10 yards, enforced at NE 20.",REG,Opponent,NE,Defensive Penalty,4,12
2009,NE,ATL,3,26,10,NE,ATL,NE,ATL 43,ATL,43,43,Q1,1 and 10,5:59,ATL,Roughing the Passer,15,"(NE, ATL 43, Q1, 1 and 10) (5:59) NE 76-Vollmer eligible. T.Brady pass incomplete deep middle to R.Moss. PENALTY on ATL-J.Anderson, Roughing the Passer, 15 yards, enforced at ATL 43 - No Play.",REG,NE,Opponent,Defensive Penalty,1,10
2009,NE,ATL,3,26,10,NE,ATL,NE,ATL 18,ATL,18,18,Q1,1 and 10,4:31,NE,Illegal Motion,5,"(NE, ATL 18, Q1, 1 and 10) (4:31) T.Brady pass short right to S.Morris to ATL 8 for 10 yards (E.Coleman, B.Williams). PENALTY on NE-K.Faulk, Illegal Motion, 5 yards, enforced at ATL 18 - No Play.",REG,NE,NE,Offensive Penalty,1,10
2009,NE,ATL,3,26,10,NE,ATL,ATL,ATL 27,ATL,27,73,Q2,4 and 7,14:15,ATL,Illegal Touch Kick,5,"(ATL, ATL 27, Q2, 4 and 7) (14:15) M.Koenen punts 29 yards to NE 44, Center-M.Schneck, downed by ATL-C.Owens. PENALTY on ATL-C.Owens, Illegal Touch Kick, 5 yards, enforced at NE 44.",REG,Opponent,Opponent,Offensive Penalty,4,7
2009,NE,ATL,3,26,10,NE,ATL,NE,NE 27,NE,27,73,Q2,4 and 6,7:24,NE,Player Out of Bounds on Punt,5,"(NE, NE 27, Q2, 4 and 6) (7:24) C.Hanson punts 51 yards to ATL 22, Center-J.Ingram, out of bounds. PENALTY on NE-T.Wheatley, Player Out of Bounds on Punt, 5 yards, enforced at ATL 22.",REG,NE,NE,Offensive Penalty,4,6
2009,NE,ATL,3,26,10,NE,ATL,NE,ATL 31,ATL,31,31,Q2,2 and 5,1:12,ATL,Illegal Contact,5,"(NE, ATL 31, Q2, 2 and 5) (1:12) (No Huddle, Shotgun) T.Brady pass incomplete deep left to J.Galloway. PENALTY on ATL-B.Williams, Illegal Contact, 5 yards, enforced at ATL 31 - No Play.",REG,NE,Opponent,Defensive Penalty,2,5
2009,NE,ATL,3,26,10,NE,ATL,ATL,NE 36,NE,36,36,Q3,2 and 3,7:57,ATL,Offensive Pass Interference,10,"(ATL, NE 36, Q3, 2 and 3) (7:57) (No Huddle) M.Ryan pass deep left to M.Jenkins for 36 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on ATL-M.Jenkins, Offensive Pass Interference, 10 yards, enforced at NE 36 - No Play.",REG,Opponent,Opponent,Offensive Penalty,2,3
2009,NE,ATL,3,26,10,NE,ATL,ATL,NE 46,NE,46,46,Q3,2 and 13,7:51,ATL,False Start,5,"(ATL, NE 46, Q3, 2 and 13) (7:51) (Shotgun) PENALTY on ATL-S.Baker, False Start, 5 yards, enforced at NE 46 - No Play.",REG,Opponent,Opponent,Offensive Penalty,2,13
2009,NE,ATL,3,26,10,NE,ATL,ATL,ATL 39,ATL,39,61,Q4,4 and 7,13:20,ATL,Ineligible Downfield Kick,5,"(ATL, ATL 39, Q4, 4 and 7) (13:20) (Punt formation) M.Koenen to ATL 24 for -15 yards. FUMBLES, and recovers at ATL 24. M.Koenen punts 48 yards to NE 13. K.Faulk ran ob at NE 28 for 15 yards. PENALTY on ATL-J.Snelling, Ineligible Downfield Kick, 5 yards, enforced at NE 28.",REG,Opponent,Opponent,Offensive Penalty,4,7
2009,NE,ATL,3,26,10,NE,ATL,NE,ATL 49,ATL,49,49,Q4,3 and 3,8:50,ATL,Defensive Pass Interference,9,"(NE, ATL 49, Q4, 3 and 3) (8:50) (Shotgun) T.Brady pass incomplete short right to R.Moss. PENALTY on ATL-B.Grimes, Defensive Pass Interference, 9 yards, enforced at ATL 49 - No Play.",REG,NE,Opponent,Defensive Penalty,3,3
2009,NE,BAL,4,27,21,NE,BAL,BAL,BAL 19,BAL,19,81,Q1,3 and 10,13:20,NE,Encroachment,5,"(BAL, BAL 19, Q1, 3 and 10) (13:20) (Shotgun) PENALTY on NE-T.Banta-Cain, Encroachment, 5 yards, enforced at BAL 19 - No Play.",REG,Opponent,NE,Defensive Penalty,3,10
2009,NE,BAL,4,27,21,NE,BAL,BAL,NE 44,NE,44,44,Q1,1 and 10,11:59,BAL,False Start,5,"(BAL, NE 44, Q1, 1 and 10) (11:59) (No Huddle) PENALTY on BAL-J.Gaither, False Start, 5 yards, enforced at NE 44 - No Play.",REG,Opponent,Opponent,Offensive Penalty,1,10
2009,NE,BAL,4,27,21,NE,BAL,BAL,NE 15,NE,15,15,Q1,3 and 15,7:28,BAL,Delay of Game,5,"(BAL, NE 15, Q1, 3 and 15) (7:28) (Shotgun) PENALTY on BAL-J.Flacco, Delay of Game, 5 yards, enforced at NE 15 - No Play.",REG,Opponent,Opponent,Offensive Penalty,3,15
2009,NE,BAL,4,27,21,NE,BAL,NE,BAL 37,BAL,37,37,Q1,3 and 9,3:35,BAL,Roughing the Passer,15,"(NE, BAL 37, Q1, 3 and 9) (3:35) (Shotgun) T.Brady pass incomplete short middle to B.Watson [H.Ngata]. PENALTY on BAL-H.Ngata, Roughing the Passer, 15 yards, enforced at BAL 37 - No Play.",REG,NE,Opponent,Defensive Penalty,3,9
2009,NE,BAL,4,27,21,NE,BAL,NE,BAL 1,BAL,1,1,Q2,1 and 1,15:00,NE,False Start,5,"(NE, BAL 1, Q2, 1 and 1) (15:00) M.Light reported in as eligible.  PENALTY on NE-D.Koppen, False Start, 5 yards, enforced at BAL 1 - No Play.",REG,NE,NE,Offensive Penalty,1,1
2009,NE,BAL,4,27,21,NE,BAL,BAL,BAL 25,BAL,25,75,Q2,3 and 5,7:11,BAL,Intentional Grounding,10,"(BAL, BAL 25, Q2, 3 and 5) (7:11) (Shotgun) J.Flacco pass incomplete short left [G.Guyton]. PENALTY on BAL-J.Flacco, Intentional Grounding, 10 yards, enforced at BAL 25.",REG,Opponent,Opponent,Offensive Penalty,3,5
2009,NE,BAL,4,27,21,NE,BAL,NE,BAL 43,BAL,43,43,Q2,2 and 11,5:16,BAL,Roughing the Passer,15,"(NE, BAL 43, Q2, 2 and 11) (5:16) T.Brady pass short right to S.Morris to BAL 42 for 1 yard (J.Johnson). PENALTY on BAL-T.Suggs, Roughing the Passer, 15 yards, enforced at BAL 42.",REG,NE,Opponent,Defensive Penalty,2,11
2009,NE,BAL,4,27,21,NE,BAL,BAL,BAL 39,BAL,39,61,Q2,1 and 10,2:49,NE,Unnecessary Roughness,15,"(BAL, BAL 39, Q2, 1 and 10) (2:49) (No Huddle) J.Flacco sacked at BAL 30 for -9 yards (M.Wright). PENALTY on NE-M.Wright, Unnecessary Roughness, 15 yards, enforced at BAL 30.",REG,Opponent,NE,Defensive Penalty,1,10
2009,NE,BAL,4,27,21,NE,BAL,NE,NE 20,NE,20,80,Q3,3 and 10,13:38,BAL,Illegal Contact,5,"(NE, NE 20, Q3, 3 and 10) (13:38) (Shotgun) T.Brady pass incomplete short left to W.Welker. PENALTY on BAL-C.Carr, Illegal Contact, 5 yards, enforced at NE 20 - No Play.",REG,NE,Opponent,Defensive Penalty,3,10
2009,NE,BAL,4,27,21,NE,BAL,NE,NE 27,NE,27,73,Q3,2 and 8,13:33,BAL,Unsportsmanlike Conduct,15,"(NE, NE 27, Q3, 2 and 8) (13:33) PENALTY on BAL, Unsportsmanlike Conduct, 15 yards, enforced at NE 27 - No Play. penalty on Baltimore bench",REG,NE,Opponent,Defensive Penalty,2,8
2009,NE,BAL,4,27,21,NE,BAL,NE,NE 42,NE,42,58,Q3,1 and 10,13:07,NE,Offensive Holding,10,"(NE, NE 42, Q3, 1 and 10) (13:07) T.Brady pass short right to L.Maroney to BAL 29 for 29 yards (D.Landry, E.Reed). PENALTY on NE-M.Light, Offensive Holding, 10 yards, enforced at NE 42 - No Play.",REG,NE,NE,Offensive Penalty,1,10
2009,NE,BAL,4,27,21,NE,BAL,NE,BAL 2,BAL,2,2,Q3,,,BAL,Encroachment,5,"(NE, BAL 2, Q3) S.Gostkowski extra point is GOOD, Center-J.Ingram, Holder-C.Hanson. PENALTY on BAL-F.Walker, Encroachment, 5 yards, enforced between downs.",REG,NE,Opponent,Defensive Penalty,,
2009,NE,BAL,4,27,21,NE,BAL,BAL,BAL 33,BAL,33,67,Q3,1 and 10,1:52,BAL,Offensive Pass Interference,10,"(BAL, BAL 33, Q3, 1 and 10) (1:52) J.Flacco pass deep left to D.Mason ran ob at NE 47 for 20 yards. PENALTY on BAL-D.Mason, Offensive Pass Interference, 10 yards, enforced at BAL 33 - No Play.",REG,Opponent,Opponent,Offensive Penalty,1,10
2009,NE,BAL,4,27,21,NE,BAL,NE,BAL 9,BAL,9,9,Q4,4 and 4,7:18,NE,Illegal Motion,6,"(NE, BAL 9, Q4, 4 and 4) (7:18) (Field Goal formation) C.Hanson pass short left to C.Baker ran ob at BAL 5 for 4 yards. PENALTY on NE-C.Baker, Illegal Motion, 6 yards, enforced at BAL 9 - No Play. Baltimore challenged the pass completion ruling, and the play was Upheld. (Timeout #2.)",REG,NE,NE,Offensive Penalty,4,4
2009,DEN,NE,5,20,17,DEN,NE,NE,DEN 41,DEN,41,41,Q2,3 and 10,10:01,NE,Unnecessary Roughness,15,"(NE, DEN 41, Q2, 3 and 10) (10:01) (Shotgun) K.Faulk up the middle to DEN 38 for 3 yards (W.Woodyard; D.Williams). PENALTY on NE-L.Mankins, Unnecessary Roughness, 15 yards, enforced at DEN 38.",REG,NE,NE,Offensive Penalty,3,10
2009,DEN,NE,5,20,17,DEN,NE,DEN,DEN 28,DEN,28,72,Q2,1 and 10,7:46,NE,Roughing the Passer,15,"(DEN, DEN 28, Q2, 1 and 10) (7:46) K.Orton pass short left to E.Royal to DEN 41 for 13 yards (L.Bodden, B.McGowan). PENALTY on NE-T.Warren, Roughing the Passer, 15 yards, enforced at DEN 41.",REG,Opponent,NE,Defensive Penalty,1,10
2009,DEN,NE,5,20,17,DEN,NE,DEN,NE 37,NE,37,37,Q3,2 and 4,10:39,DEN,Offensive Holding,10,"(DEN, NE 37, Q3, 2 and 4) (10:39) K.Moreno up the middle to NE 36 for 1 yard (M.Wright). PENALTY on DEN-B.Hamilton, Offensive Holding, 10 yards, enforced at NE 37 - No Play.",REG,Opponent,Opponent,Offensive Penalty,2,4
2009,DEN,NE,5,20,17,DEN,NE,NE,NE 10,NE,10,90,Q3,4 and 4,00:31,DEN,Running Into the Kicker,5,"(NE, NE 10, Q3, 4 and 4) (:31) C.Hanson punts 40 yards to 50, Center-J.Ingram. E.Royal to NE 48 for 2 yards. PENALTY on DEN-D.Reid, Running Into the Kicker, 5 yards, enforced at NE 10 - No Play.",REG,NE,Opponent,Defensive Penalty,4,4
2009,DEN,NE,5,20,17,DEN,NE,NE,NE 34,NE,34,66,Q4,4 and 2,12:33,DEN,Neutral Zone Infraction,5,"(NE, NE 34, Q4, 4 and 2) (12:33) PENALTY on DEN-R.Quinn, Neutral Zone Infraction, 5 yards, enforced at NE 34 - No Play.",REG,NE,Opponent,Defensive Penalty,4,2
2009,DEN,NE,5,20,17,DEN,NE,DEN,NE 22,NE,22,22,Q4,2 and 3,5:32,NE,Taunting,11,"(DEN, NE 22, Q4, 2 and 3) (5:32) (Shotgun) K.Orton pass incomplete deep left to E.Royal. PENALTY on NE-B.Meriweather, Taunting, 11 yards, enforced at NE 22.",REG,Opponent,NE,Defensive Penalty,2,3
2009,DEN,NE,5,20,17,DEN,NE,DEN,NE 27,NE,27,27,Q5,3 and 8,10:24,NE,Defensive Offside,5,"(DEN, NE 27, Q5, 3 and 8) (10:24) (Shotgun) K.Orton pass incomplete short right to B.Marshall. PENALTY on NE-T.Banta-Cain, Defensive Offside, 5 yards, enforced at NE 27 - No Play.",REG,Opponent,NE,Defensive Penalty,3,8
2009,NE,TEN,6,59,0,NE,TEN,NE,TEN 10,TEN,10,10,Q1,3 and 3,12:05,NE,Delay of Game,5,"(NE, TEN 10, Q1, 3 and 3) (12:05) (Shotgun) PENALTY on NE-T.Brady, Delay of Game, 5 yards, enforced at TEN 10 - No Play.",REG,NE,NE,Offensive Penalty,3,3
2009,NE,TEN,6,59,0,NE,TEN,TEN,TEN 37,TEN,37,63,Q1,3 and 2,9:22,NE,Defensive Holding,5,"(TEN, TEN 37, Q1, 3 and 2) (9:22) K.Collins pass incomplete short left to J.Gage (D.Butler). PENALTY on NE-D.Butler, Defensive Holding, 5 yards, enforced at TEN 37 - No Play.",REG,Opponent,NE,Defensive Penalty,3,2
2009,NE,TEN,6,59,0,NE,TEN,TEN,TEN 27,TEN,27,73,Q2,3 and 3,15:00,TEN,Illegal Blindside Block,10,"(TEN, TEN 27, Q2, 3 and 3) (15:00) (Shotgun) C.Johnson left guard to NE 33 for 40 yards (B.McGowan). PENALTY on TEN-K.Britt, Illegal Blindside Block, 10 yards, enforced at NE 42.",REG,Opponent,Opponent,Offensive Penalty,3,3
2009,NE,TEN,6,59,0,NE,TEN,NE,NE 48,NE,48,52,Q2,1 and 10,11:41,NE,False Start,5,"(NE, NE 48, Q2, 1 and 10) (11:41) PENALTY on NE-S.Neal, False Start, 5 yards, enforced at NE 48 - No Play.",REG,NE,NE,Offensive Penalty,1,10
2009,NE,TEN,6,59,0,NE,TEN,NE,NE 43,NE,43,57,Q2,1 and 15,11:26,TEN,Encroachment,5,"(NE, NE 43, Q2, 1 and 15) (11:26) T.Brady pass incomplete short left to B.Green-Ellis (S.Tulloch). PENALTY on TEN-J.Jones, Encroachment, 5 yards, enforced at NE 43 - No Play.",REG,NE,Opponent,Defensive Penalty,1,15
2009,NE,TEN,6,59,0,NE,TEN,NE,TEN 28,TEN,28,28,Q2,2 and 7,9:07,TEN,Roughing the Passer,15,"(NE, TEN 28, Q2, 2 and 7) (9:07) T.Brady pass deep middle to R.Moss for 28 yards, TOUCHDOWN [C.Hope]. PENALTY on TEN-C.Hope, Roughing the Passer, 15 yards, enforced between downs. NE 81-Moss 33rd career game with 2+ TD receptions, 2nd all-time (Jerry Rice 43).",REG,NE,Opponent,Defensive Penalty,2,7
