Season,Home,Away,Week,Team_Possesion,Field_Position,Quarter,To_go,Time_left_Qtr,Penalty_on,Penalty,Penalty_Yards,game_type
2009,NYJ,NE,2,NYJ,NYJ 40,Q4,4 and 12,2:00,NE,Illegal Block Above the Waist,10,REG
2009,NE,ATL,3,NE,ATL 43,Q1,1 and 10,5:59,ATL,Roughing the Passer,15,REG
2009,NE,ATL,3,NE,ATL 18,Q1,1 and 10,4:31,NE,Illegal Motion,5,REG
2009,NE,ATL,3,ATL,ATL 27,Q2,4 and 7,14:15,ATL,Illegal Touch Kick,5,REG
2009,NE,ATL,3,NE,NE 27,Q2,4 and 6,7:24,NE,Player Out of Bounds on Punt,5,REG
2009,NE,ATL,3,NE,ATL 31,Q2,2 and 5,1:12,ATL,Illegal Contact,5,REG
2009,NE,ATL,3,ATL,NE 36,Q3,2 and 3,7:57,ATL,Offensive Pass Interference,10,REG
2009,NE,ATL,3,ATL,NE 46,Q3,2 and 13,7:51,ATL,False Start,5,REG
2009,NE,ATL,3,ATL,ATL 39,Q4,4 and 7,13:20,ATL,Ineligible Downfield Kick,5,REG
2009,NE,ATL,3,NE,ATL 49,Q4,3 and 3,8:50,ATL,Defensive Pass Interference,9,REG
2009,NE,BAL,4,BAL,BAL 19,Q1,3 and 10,13:20,NE,Encroachment,5,REG
2009,NE,BAL,4,BAL,NE 44,Q1,1 and 10,11:59,BAL,False Start,5,REG
2009,NE,BAL,4,BAL,NE 15,Q1,3 and 15,7:28,BAL,Delay of Game,5,REG
2009,NE,BAL,4,NE,BAL 37,Q1,3 and 9,3:35,BAL,Roughing the Passer,15,REG
2009,NE,BAL,4,NE,BAL 1,Q2,1 and 1,15:00,NE,False Start,5,REG
2009,NE,BAL,4,BAL,BAL 25,Q2,3 and 5,7:11,BAL,Intentional Grounding,10,REG
2009,NE,BAL,4,NE,BAL 43,Q2,2 and 11,5:16,BAL,Roughing the Passer,15,REG
2009,NE,BAL,4,BAL,BAL 39,Q2,1 and 10,2:49,NE,Unnecessary Roughness,15,REG
2009,NE,BAL,4,NE,NE 20,Q3,3 and 10,13:38,BAL,Illegal Contact,5,REG
2009,NE,BAL,4,NE,NE 27,Q3,2 and 8,13:33,BAL,Unsportsmanlike Conduct,15,REG
2009,NE,BAL,4,NE,NE 42,Q3,1 and 10,13:07,NE,Offensive Holding,10,REG
2009,NE,BAL,4,NE,BAL 2,Q3,,,BAL,Encroachment,5,REG
2009,NE,BAL,4,BAL,BAL 33,Q3,1 and 10,1:52,BAL,Offensive Pass Interference,10,REG
2009,NE,BAL,4,NE,BAL 9,Q4,4 and 4,7:18,NE,Illegal Motion,6,REG
2009,DEN,NE,5,NE,DEN 41,Q2,3 and 10,10:01,NE,Unnecessary Roughness,15,REG
2009,DEN,NE,5,DEN,DEN 28,Q2,1 and 10,7:46,NE,Roughing the Passer,15,REG
2009,DEN,NE,5,DEN,NE 37,Q3,2 and 4,10:39,DEN,Offensive Holding,10,REG
2009,DEN,NE,5,NE,NE 10,Q3,4 and 4,:31,DEN,Running Into the Kicker,5,REG
2009,DEN,NE,5,NE,NE 34,Q4,4 and 2,12:33,DEN,Neutral Zone Infraction,5,REG
2009,DEN,NE,5,DEN,NE 22,Q4,2 and 3,5:32,NE,Taunting,11,REG
2009,DEN,NE,5,DEN,NE 27,Q5,3 and 8,10:24,NE,Defensive Offside,5,REG
2009,NE,TEN,6,NE,TEN 10,Q1,3 and 3,12:05,NE,Delay of Game,5,REG
2009,NE,TEN,6,TEN,TEN 37,Q1,3 and 2,9:22,NE,Defensive Holding,5,REG
2009,NE,TEN,6,TEN,TEN 27,Q2,3 and 3,15:00,TEN,Illegal Blindside Block,10,REG
2009,NE,TEN,6,NE,NE 48,Q2,1 and 10,11:41,NE,False Start,5,REG
2009,NE,TEN,6,NE,NE 43,Q2,1 and 15,11:26,TEN,Encroachment,5,REG
2009,NE,TEN,6,NE,TEN 28,Q2,2 and 7,9:07,TEN,Roughing the Passer,15,REG
2009,NE,TEN,6,NE,NE 30,Q2,2 and 4,3:59,TEN,Encroachment,5,REG
2009,NE,TEN,6,NE,NE 35,Q3,1 and 10,14:52,TEN,Roughing the Passer,15,REG
2009,NE,TEN,6,NE,NE 44,Q3,2 and 5,7:18,NE,False Start,5,REG
2009,NE,TEN,6,NE,TEN 2,Q3,,,TEN,Neutral Zone Infraction,5,REG
2009,NE,TEN,6,NE,TEN 14,Q4,1 and 10,13:33,NE,False Start,5,REG
2009,NE,TEN,6,TEN,TEN 6,Q4,1 and 10,4:04,NE,Unsportsmanlike Conduct,15,REG
2009,TB,NE,7,TB,TB 31,Q1,2 and 8,6:06,TB,Chop Block,15,REG
2009,TB,NE,7,NE,TB 11,Q1,1 and 10,3:15,NE,Ineligible Downfield Pass,5,REG
2009,TB,NE,7,NE,NE 30,Q1,,,TB,Offensive Holding,10,REG
2009,TB,NE,7,NE,NE 25,Q2,1 and 10,6:28,NE,False Start,5,REG
2009,TB,NE,7,NE,NE 46,Q2,4 and 2,3:24,NE,False Start,5,REG
2009,TB,NE,7,NE,NE 26,Q2,2 and 10,:59,NE,Offensive Holding,10,REG
2009,TB,NE,7,NE,TB 49,Q3,1 and 10,12:27,NE,Offensive Holding,10,REG
2009,TB,NE,7,NE,TB 25,Q3,1 and 10,9:46,NE,Offensive Holding,10,REG
2009,TB,NE,7,NE,NE 41,Q3,3 and 1,7:19,NE,False Start,5,REG
2009,TB,NE,7,TB,TB 30,Q3,3 and 10,5:49,TB,Unnecessary Roughness,15,REG
2009,TB,NE,7,TB,NE 32,Q3,1 and 10,3:03,TB,Delay of Game,5,REG
2009,TB,NE,7,NE,TB 47,Q4,1 and 10,13:50,NE,False Start,6,REG
2009,TB,NE,7,NE,TB 41,Q4,2 and 4,12:24,TB,Defensive Offside,5,REG
2009,TB,NE,7,NE,NE 41,Q4,3 and 5,5:11,NE,Illegal Shift,5,REG
2009,TB,NE,7,NE,TB 48,Q4,4 and 14,2:00,NE,False Start,5,REG
2009,TB,NE,7,TB,TB 28,Q4,4 and 2,1:12,TB,Delay of Game,5,REG
2009,NE,MIA,9,MIA,NE 29,Q2,1 and 10,6:22,NE,Defensive Pass Interference,14,REG
2009,NE,MIA,9,NE,MIA 24,Q2,1 and 10,4:16,NE,Offensive Pass Interference,11,REG
2009,NE,MIA,9,NE,NE 30,Q2,,,NE,Offside on Free Kick,5,REG
2009,NE,MIA,9,NE,NE 21,Q2,2 and 3,1:19,MIA,Defensive Pass Interference,13,REG
2009,NE,MIA,9,NE,MIA 43,Q2,1 and 10,:44,MIA,Defensive Pass Interference,17,REG
2009,NE,MIA,9,MIA,MIA 26,Q3,3 and 10,2:58,NE,Roughing the Passer,15,REG
2009,NE,MIA,9,MIA,MIA 32,Q4,3 and 10,3:05,MIA,Delay of Game,5,REG
2009,NE,MIA,9,NE,MIA 18,Q4,4 and 1,1:14,NE,False Start,4,REG
2009,IND,NE,10,NE,IND 20,Q1,2 and 9,:51,NE,Offensive Holding,10,REG
2009,IND,NE,10,IND,IND 24,Q2,1 and 10,11:13,IND,Offensive Pass Interference,10,REG
2009,IND,NE,10,IND,IND 45,Q2,1 and 10,5:21,NE,Defensive Pass Interference,19,REG
2009,IND,NE,10,IND,IND 30,Q2,3 and 5,3:48,IND,False Start,5,REG
2009,IND,NE,10,IND,IND 45,Q2,2 and 2,:46,IND,Illegal Motion,5,REG
2009,IND,NE,10,IND,IND 38,Q3,1 and 10,10:40,NE,Unsportsmanlike Conduct,12,REG
2009,IND,NE,10,IND,NE 44,Q4,1 and 10,3:03,NE,Defensive Pass Interference,31,REG
2009,NE,NYJ,11,NE,NE 30,Q1,,,NYJ,Chop Block,9,REG
2009,NE,NYJ,11,NYJ,NYJ 17,Q1,4 and 2,4:27,NE,Offensive Holding,10,REG
2009,NE,NYJ,11,NE,NYJ 9,Q1,3 and 7,:06,NYJ,Defensive Holding,5,REG
2009,NE,NYJ,11,NE,NE 21,Q2,1 and 10,2:09,NE,Offensive Holding,10,REG
2009,NE,NYJ,11,NYJ,NYJ 46,Q3,1 and 10,11:49,NYJ,False Start,5,REG
2009,NE,NYJ,11,NYJ,NYJ 30,Q3,,,NE,Face Mask (15 Yards),11,REG
2009,NE,NYJ,11,NE,NE 31,Q3,3 and 1,8:17,NYJ,Illegal Use of Hands,5,REG
2009,NE,NYJ,11,NE,NE 21,Q3,3 and 10,1:08,NE,Delay of Game,5,REG
2009,NE,NYJ,11,NE,NE 48,Q4,2 and 10,12:11,NE,Delay of Game,5,REG
2009,NE,NYJ,11,NYJ,NYJ 8,Q4,1 and 10,10:37,NYJ,False Start,4,REG
2009,NE,NYJ,11,NE,NYJ 25,Q4,1 and 10,9:53,NE,Offensive Pass Interference,10,REG
2009,NO,NE,12,NE,NO 32,Q2,3 and 7,6:22,NO,Illegal Contact,5,REG
2009,NO,NE,12,NE,NE 35,Q2,1 and 10,1:08,NO,Defensive Holding,5,REG
2009,NO,NE,12,NE,NE 18,Q3,1 and 10,8:58,NO,Personal Foul,15,REG
2009,NO,NE,12,NO,NO 29,Q4,3 and 3,2:34,NO,Offensive Holding,11,REG
2009,MIA,NE,13,MIA,NE 49,Q2,2 and 10,5:23,NE,Personal Foul,15,REG
2009,MIA,NE,13,NE,NE 23,Q2,1 and 10,5:11,NE,False Start,5,REG
2009,MIA,NE,13,NE,NE 29,Q3,1 and 10,12:43,NE,Offensive Holding,10,REG
2009,MIA,NE,13,MIA,NE 46,Q3,3 and 4,11:05,NE,Defensive Pass Interference,37,REG
2009,MIA,NE,13,NE,MIA 39,Q3,4 and 3,:41,NE,Offensive Pass Interference,10,REG
2009,MIA,NE,13,NE,MIA 49,Q3,4 and 13,:21,NE,Illegal Motion,5,REG
2009,MIA,NE,13,NE,MIA 31,Q4,1 and 10,11:33,MIA,Defensive Holding,5,REG
2009,MIA,NE,13,NE,MIA 9,Q4,1 and 9,10:51,MIA,Defensive 12 On-field,5,REG
2009,NE,CAR,14,NE,NE 36,Q1,1 and 10,13:54,CAR,Face Mask (15 Yards),15,REG
2009,NE,CAR,14,CAR,CAR 21,Q2,2 and 10,14:47,CAR,Offensive Holding,10,REG
2009,NE,CAR,14,CAR,CAR 19,Q2,3 and 12,13:38,CAR,Delay of Game,5,REG
2009,NE,CAR,14,NE,NE 49,Q2,2 and 4,2:49,CAR,Defensive Pass Interference,30,REG
2009,NE,CAR,14,NE,CAR 5,Q2,2 and 4,1:17,CAR,Defensive Holding,2,REG
2009,NE,CAR,14,CAR,CAR 30,Q3,,,NE,Offensive Holding,10,REG
2009,NE,CAR,14,CAR,NE 45,Q3,3 and 7,10:08,CAR,Illegal Shift,5,REG
2009,NE,CAR,14,CAR,NE 43,Q3,,9:43,CAR,Illegal Formation,5,REG
2009,NE,CAR,14,NE,CAR 36,Q4,2 and 1,8:38,CAR,Illegal Use of Hands,5,REG
2009,NE,CAR,14,NE,CAR 40,Q4,3 and 8,5:03,NE,False Start,5,REG
2009,NE,CAR,14,NE,CAR 45,Q4,4 and 13,4:30,CAR,Roughing the Kicker,15,REG
2009,NE,CAR,14,NE,CAR 31,Q4,2 and 11,4:15,NE,Illegal Formation,5,REG
2009,NE,CAR,14,CAR,CAR 15,Q4,1 and 10,3:50,NE,Neutral Zone Infraction,5,REG
2009,BUF,NE,15,BUF,NE 2,Q1,3 and 2,6:09,BUF,False Start,5,REG
2009,BUF,NE,15,BUF,BUF 39,Q1,1 and 10,2:40,BUF,False Start,5,REG
2009,BUF,NE,15,NE,NE 25,Q1,1 and 10,:46,BUF,Illegal Use of Hands,5,REG
2009,BUF,NE,15,NE,BUF 41,Q2,1 and 10,13:13,NE,False Start,5,REG
2009,BUF,NE,15,NE,BUF 46,Q2,1 and 15,12:52,BUF,Defensive Pass Interference,43,REG
2009,BUF,NE,15,NE,BUF 3,Q2,1 and 3,12:42,NE,Offensive Pass Interference,10,REG
2009,BUF,NE,15,BUF,BUF 27,Q2,1 and 10,12:27,BUF,Offensive Holding,10,REG
2009,BUF,NE,15,NE,BUF 43,Q2,2 and 10,8:43,BUF,Defensive Holding,5,REG
2009,BUF,NE,15,BUF,BUF 48,Q2,1 and 10,5:37,BUF,Offensive Holding,10,REG
2009,BUF,NE,15,NE,BUF 22,Q2,2 and 10,1:48,BUF,Defensive Pass Interference,21,REG
2009,BUF,NE,15,BUF,BUF 30,Q3,,,NE,Offensive Holding,10,REG
2009,BUF,NE,15,BUF,BUF 45,Q3,1 and 10,3:25,BUF,False Start,5,REG
2009,BUF,NE,15,BUF,NE 49,Q3,3 and 4,1:48,NE,Defensive Offside,5,REG
2009,BUF,NE,15,BUF,NE 28,Q3,2 and 7,:18,BUF,Illegal Block Above the Waist,10,REG
2009,BUF,NE,15,BUF,BUF 40,Q4,1 and 10,13:14,NE,Face Mask (15 Yards),15,REG
2009,BUF,NE,15,NE,NE 11,Q4,1 and 10,4:20,NE,Offensive Holding,7,REG
2009,BUF,NE,15,BUF,BUF 30,Q4,,,BUF,Offside on Free Kick,5,REG
2009,NE,JAC,16,JAC,NE 35,Q2,,12:46,JAC,False Start,5,REG
2009,NE,JAC,16,NE,NE 10,Q3,1 and 10,6:26,NE,False Start,5,REG
2009,NE,JAC,16,NE,JAC 12,Q4,2 and 3,15:00,NE,False Start,5,REG
2009,HOU,NE,17,NE,HOU 43,Q2,3 and 8,11:40,HOU,Defensive Holding,5,REG
2009,HOU,NE,17,HOU,NE 19,Q2,2 and 6,6:30,NE,Unnecessary Roughness,10,REG
2009,HOU,NE,17,HOU,HOU 30,Q2,,,NE,Unnecessary Roughness,9,REG
2009,HOU,NE,17,NE,NE 18,Q2,1 and 10,4:41,NE,Unnecessary Roughness,9,REG
2009,HOU,NE,17,NE,NE 41,Q2,1 and 10,2:52,HOU,Roughing the Passer,15,REG
2009,HOU,NE,17,NE,NE 38,Q3,2 and 1,14:07,HOU,Defensive Holding,5,REG
2009,HOU,NE,17,HOU,NE 29,Q4,1 and 10,9:53,NE,Defensive Pass Interference,26,REG
2009,HOU,NE,17,HOU,NE 3,Q4,1 and 3,9:53,HOU,False Start,5,REG
2009,HOU,NE,17,NE,HOU 41,Q4,1 and 10,:50,HOU,Defensive 12 On-field,5,REG
2009,HOU,NE,17,NE,HOU 36,Q4,1 and 5,:40,NE,Offensive Holding,10,REG
2010,NE,CIN,1,NE,CIN 28,Q1,1 and 10,1:05,NE,False Start,5,REG
2010,NE,CIN,1,NE,CIN 24,Q2,1 and 10,11:05,NE,Illegal Shift,5,REG
2010,NE,CIN,1,CIN,CIN 32,Q2,3 and 6,4:16,NE,Encroachment,5,REG
2010,NE,CIN,1,CIN,PENALTY ,Q3,,13:12,CIN,False Start,5,REG
2010,NE,CIN,1,NE,NE 30,Q3,3 and 8,6:32,NE,Offensive Holding,10,REG
2010,NE,CIN,1,CIN,NE 1,Q4,2 and 1,4:04,NE,Encroachment,0,REG
2010,NE,CIN,1,CIN,CIN 30,Q4,,,CIN,Illegal Touch Kick,0,REG
2010,NE,CIN,1,NE,CIN 15,Q4,2 and 10,2:08,NE,False Start,5,REG
2010,NYJ,NE,2,NE,NE 39,Q1,1 and 10,14:34,NE,Illegal Formation,5,REG
2010,NYJ,NE,2,NE,NYJ 14,Q1,4 and 1,8:38,NE,Delay of Game,5,REG
2010,NYJ,NE,2,NE,NE 46,Q1,3 and 9,3:43,NYJ,Unnecessary Roughness,15,REG
2010,NYJ,NE,2,NYJ,NE 46,Q2,1 and 10,9:37,NE,Unnecessary Roughness,15,REG
2010,NYJ,NE,2,NYJ,NE 10,Q2,3 and 3,6:30,NYJ,Taunting,15,REG
2010,NYJ,NE,2,NE,NE 42,Q2,4 and 2,5:30,NE,Fair Catch Interference,15,REG
2010,NYJ,NE,2,NE,NE 37,Q3,2 and 3,12:41,NYJ,Encroachment,5,REG
2010,NYJ,NE,2,NE,NE 11,Q4,1 and 10,13:24,NYJ,Illegal Contact,5,REG
2010,NYJ,NE,2,NYJ,NE 49,Q4,2 and 7,8:27,NE,Defensive Pass Interference,23,REG
2010,NYJ,NE,2,NYJ,NE 21,Q4,2 and 5,7:38,NE,Defensive Pass Interference,16,REG
2010,NYJ,NE,2,NE,NE 45,Q4,3 and 10,5:26,NYJ,Defensive Pass Interference,8,REG
2010,NYJ,NE,2,NYJ,NE 47,Q4,1 and 10,2:01,NYJ,Offensive Holding,10,REG
2010,NE,BUF,3,BUF,BUF 27,Q1,1 and 10,5:09,BUF,False Start,5,REG
2010,NE,BUF,3,BUF,BUF 25,Q1,2 and 12,4:27,BUF,Offensive Holding,10,REG
2010,NE,BUF,3,NE,NE 23,Q1,1 and 10,1:35,NE,Offensive Holding,10,REG
2010,NE,BUF,3,NE,NE 25,Q2,1 and 10,10:40,NE,Offensive Pass Interference,10,REG
2010,NE,BUF,3,BUF,NE 36,Q3,3 and 7,9:29,BUF,False Start,5,REG
2010,NE,BUF,3,NE,NE 47,Q4,3 and 9,13:04,BUF,Illegal Contact,5,REG
2010,NE,BUF,3,NE,BUF 38,Q4,1 and 10,11:38,BUF,Neutral Zone Infraction,5,REG
2010,NE,BUF,3,BUF,NE 37,Q4,1 and 10,4:15,BUF,Unsportsmanlike Conduct,15,REG
2010,NE,BUF,3,NE,BUF 49,Q4,1 and 10,4:05,NE,False Start,5,REG
2010,NE,BUF,3,NE,NE 39,Q4,2 and 22,3:30,NE,Offensive Pass Interference,10,REG
2010,MIA,NE,4,MIA,NE 14,Q1,2 and 3,6:59,MIA,Offensive Holding,10,REG
2010,MIA,NE,4,NE,NE 38,Q1,2 and 7,4:51,NE,Offensive Holding,10,REG
2010,MIA,NE,4,MIA,MIA 39,Q2,3 and 10,4:23,NE,Defensive Pass Interference,16,REG
2010,MIA,NE,4,MIA,NE 45,Q2,1 and 10,4:16,MIA,False Start,5,REG
2010,MIA,NE,4,MIA,NE 23,Q3,1 and 10,9:21,MIA,False Start,5,REG
2010,MIA,NE,4,MIA,MIA 20,Q3,1 and 10,4:02,MIA,Offensive Pass Interference,10,REG
2010,MIA,NE,4,MIA,MIA 39,Q4,2 and 8,12:37,MIA,False Start,5,REG
2010,MIA,NE,4,NE,NE 23,Q4,1 and 10,4:36,MIA,Defensive Holding,5,REG
2010,NE,BAL,6,BAL,BAL 11,Q1,1 and 10,14:56,BAL,False Start,5,REG
2010,NE,BAL,6,BAL,BAL 27,Q1,2 and 10,:15,NE,Defensive Pass Interference,18,REG
2010,NE,BAL,6,BAL,NE 42,Q2,1 and 10,13:54,NE,Tripping,10,REG
2010,NE,BAL,6,NE,NE 20,Q2,1 and 10,11:47,NE,False Start,5,REG
2010,NE,BAL,6,BAL,BAL 23,Q2,2 and 7,8:45,NE,Personal Foul,15,REG
2010,NE,BAL,6,BAL,BAL 38,Q2,1 and 10,8:40,BAL,Offensive Holding,10,REG
2010,NE,BAL,6,BAL,BAL 35,Q2,3 and 13,6:43,BAL,False Start,5,REG
2010,NE,BAL,6,BAL,BAL 37,Q2,4 and 11,5:47,NE,Illegal Block Above the Waist,5,REG
2010,NE,BAL,6,NE,NE 33,Q3,2 and 8,12:49,NE,Illegal Formation,5,REG
2010,NE,BAL,6,BAL,NE 36,Q3,1 and 10,11:42,BAL,False Start,5,REG
2010,NE,BAL,6,NE,NE 30,Q3,,,BAL,Offensive Holding,9,REG
2010,NE,BAL,6,BAL,NE 20,Q3,3 and 4,:53,NE,Illegal Contact,5,REG
2010,NE,BAL,6,NE,BAL 47,Q4,2 and 8,13:41,BAL,Defensive Pass Interference,13,REG
2010,NE,BAL,6,NE,BAL 35,Q4,1 and 10,5:59,NE,Offensive Holding,10,REG
2010,NE,BAL,6,NE,BAL 45,Q4,1 and 20,5:59,NE,Delay of Game,5,REG
2010,NE,BAL,6,NE,NE 32,Q5,4 and 13,12:23,BAL,Illegal Block Above the Waist,10,REG
2010,NE,BAL,6,BAL,BAL 20,Q5,2 and 9,6:40,BAL,Personal Foul,10,REG
2010,SD,NE,7,NE,NE 30,Q1,,,NE,Offside on Free Kick,5,REG
2010,SD,NE,7,NE,NE 19,Q1,2 and 4,12:34,SD,Defensive Offside,5,REG
2010,SD,NE,7,NE,NE 24,Q1,4 and 10,11:11,NE,Defensive Holding,10,REG
2010,SD,NE,7,NE,NE 29,Q1,4 and 5,11:11,NE,False Start,5,REG
2010,SD,NE,7,NE,SD 12,Q1,1 and 10,2:07,SD,Illegal Use of Hands,5,REG
2010,SD,NE,7,NE,NE 44,Q2,4 and 7,13:15,NE,Delay of Game,5,REG
2010,SD,NE,7,SD,SD 28,Q2,3 and 1,11:53,NE,Defensive 12 On-field,5,REG
2010,SD,NE,7,SD,SD 29,Q2,1 and 10,6:44,SD,Offensive Holding,10,REG
2010,SD,NE,7,NE,NE 48,Q2,3 and 4,4:19,NE,Offensive Pass Interference,10,REG
2010,SD,NE,7,NE,PENALTY ,Q2,,1:32,SD,Defensive Pass Interference,29,REG
2010,SD,NE,7,NE,NE 22,Q3,2 and 9,14:33,SD,Unnecessary Roughness,15,REG
2010,SD,NE,7,NE,SD 34,Q3,2 and 3,12:32,NE,Offensive Holding,11,REG
2010,SD,NE,7,SD,NE 27,Q4,4 and 2,:28,SD,False Start,5,REG
2010,NE,MIN,8,NE,NE 43,Q1,3 and 2,12:00,NE,Illegal Motion,5,REG
2010,NE,MIN,8,NE,NE 27,Q1,4 and 3,6:14,NE,False Start,5,REG
2010,NE,MIN,8,MIN,NE 13,Q1,2 and 11,:29,NE,Roughing the Passer,7,REG
2010,NE,MIN,8,MIN,NE 45,Q2,1 and 10,9:12,MIN,Illegal Formation,5,REG
2010,NE,MIN,8,MIN,PENALTY ,Q2,,8:45,MIN,Intentional Grounding,10,REG
2010,NE,MIN,8,MIN,MIN 45,Q3,3 and 6,7:10,MIN,False Start,5,REG
2010,NE,MIN,8,MIN,NE 23,Q4,2 and 3,8:35,MIN,Intentional Grounding,10,REG
2010,NE,MIN,8,MIN,NE 33,Q4,3 and 13,8:31,NE,Defensive Pass Interference,24,REG
2010,NE,MIN,8,MIN,NE 3,Q4,3 and 3,7:35,NE,Illegal Contact,2,REG
2010,NE,MIN,8,NE,NE 43,Q4,2 and 1,5:57,NE,False Start,4,REG
2010,NE,MIN,8,MIN,NE 46,Q4,1 and 10,:41,MIN,False Start,5,REG
2010,CLE,NE,9,CLE,NE 39,Q1,3 and 7,1:40,CLE,False Start,5,REG
2010,CLE,NE,9,NE,NE 30,Q2,2 and 10,3:12,CLE,Defensive Offside,5,REG
2010,CLE,NE,9,NE,NE 48,Q3,2 and 10,13:14,NE,False Start,5,REG
2010,CLE,NE,9,CLE,NE 11,Q3,1 and 10,7:19,CLE,Delay of Game,5,REG
2010,CLE,NE,9,NE,CLE 49,Q3,2 and 7,4:29,NE,Offensive Holding,10,REG
2010,CLE,NE,9,NE,CLE 33,Q4,1 and 10,9:05,NE,False Start,5,REG
2010,CLE,NE,9,NE,CLE 14,Q4,4 and 10,7:23,CLE,Defensive Pass Interference,13,REG
2010,PIT,NE,10,PIT,NE 48,Q1,1 and 10,7:42,PIT,Offensive Holding,10,REG
2010,PIT,NE,10,PIT,PIT 25,Q1,4 and 37,7:01,PIT,Ineligible Downfield Kick,5,REG
2010,PIT,NE,10,NE,PIT 12,Q1,2 and 8,3:06,NE,Chop Block,15,REG
2010,PIT,NE,10,NE,PIT 35,Q2,2 and 10,10:52,NE,False Start,5,REG
2010,PIT,NE,10,PIT,NE 8,Q2,3 and 7,5:22,NE,Defensive Offside,4,REG
2010,PIT,NE,10,PIT,PIT 21,Q2,2 and 7,2:19,PIT,Illegal Formation,5,REG
2010,PIT,NE,10,PIT,PIT 16,Q2,4 and 12,1:47,PIT,Player Out of Bounds on Punt,5,REG
2010,PIT,NE,10,NE,PIT 34,Q2,4 and 6,:55,NE,Offensive Pass Interference,10,REG
2010,PIT,NE,10,NE,NE 40,Q3,1 and 10,8:01,NE,Offensive Holding,10,REG
2010,PIT,NE,10,PIT,NE 46,Q3,1 and 10,4:46,NE,Defensive Pass Interference,38,REG
2010,PIT,NE,10,NE,PIT 35,Q3,1 and 10,2:59,NE,False Start,5,REG
2010,PIT,NE,10,NE,PIT 34,Q4,2 and 10,10:04,NE,Intentional Grounding,10,REG
